# Data is copyright of Lavanya Gupta @ https://www.kaggle.com/lava18/google-play-store-apps,,
Last Updated,Current Ver,Android Ver
17-Jul-18,1.0.2,4.3 and up
20-Jul-18,1.2.0,4.1 and up
3-Aug-18,2.79.0,4.1 and up
22-May-18,1.3.3,4.4 and up
24-Jul-18,1.2.1,5.0 and up
27-Jul-18,1.7.2,4.1 and up
24-Jul-18,0.7.0,4.3 and up
31-Jul-18,Varies with device,Varies with device
4-Aug-18,1.8.2,4.1 and up
1-Aug-18,Varies with device,4.1 and up
11-Jul-18,1.1.1,5.0 and up
17-Jul-18,1.4.51,4.1 and up
24-Jul-18,1.3.1,4.1 and up
9-Apr-18,1.0.6,4.1 and up
20-Jul-18,3.04.1,4.0.3 and up
24-Jul-18,0.7.0,4.3 and up
26-Jul-18,1.2,5.0 and up
26-Jul-18,1.1.4,4.1 and up
2-Aug-18,1.0.47,4.1 and up
19-Jul-18,3.00.11034,5.0 and up
1-Aug-18,2.2.7,4.1 and up
1-Aug-18,1.9.3,4.1 and up
31-Jul-18,1.4.0,4.4 and up
12-Jul-18,1.2.5,5.0 and up
1-Aug-18,1.8.2,4.4 and up
29-May-18,2.0.1,4.1 and up
18-Jul-18,1.1.1,4.1 and up
3-Aug-18,1.11.0,6.0 and up
31-Jul-18,1.2.2,Varies with device
13-Jul-18,1.8.0.900,4.0.3 and up
5-Jul-18,5.6.5,4.1 and up
1-Aug-18,2.2.3,4.0.3 and up
27-Jun-18,1.2.1,4.2 and up
31-Jul-18,1.7,4.4 and up
30-Jul-18,1.2.2,4.1 and up
2-Aug-18,1.8.1,4.1 and up
2-Aug-18,4.9.31,Varies with device
30-Jul-18,3.6.0,4.1 and up
16-Jul-18,0.5.4,6.0 and up
1-Aug-18,1.180271.184729,4.0 and up
3-Aug-18,1.3.205,2.3 and up
19-Jul-18,2.1.1.4.0,4.4 and up
1-Aug-18,1.5.2,4.1 and up
6-Jul-18,1.2.0,4.3 and up
4-Aug-18,1.250.078,4.0.3 and up
31-Jul-18,2.0.2,4.0.3 and up
11-Jul-18,1.05.20,4.4 and up
15-Jun-18,3.30.4.83,4.1 and up
18-May-18,2.0081_206,4.0.3 and up
2-Aug-18,1.3.3,4.3 and up
3-Jul-18,2.2.1,4.3 and up
26-Jul-18,1.8.2,4.4 and up
4-Jul-18,2.1.2,4.4 and up
30-Jul-18,2.2.5,5.0 and up
18-Apr-18,1.0.1,4.4 and up
26-Apr-18,1.1.0,2.3 and up
9-Jul-18,Varies with device,4.4 and up
21-Dec-17,1.2.1.1712080,4.0.3 and up
20-Dec-16,1.0.11,2.3.3 and up
19-Oct-15,1.0.6,4.1 and up
30-Nov-17,1.2.9,4.4 and up
3-Aug-18,1.11.0,6.0 and up
31-Jul-18,2.347.225742,4.1 and up
5-Jul-18,1.129.0.2,4.1 and up
26-Jul-18,2.21.1,4.1 and up
31-Jul-18,4.0.0,4.0.3 and up
11-Jun-18,1.13.12,4.1 and up
1-Aug-18,1.8.2,4.4 and up
24-Jul-18,0.7.0,4.3 and up
16-Jul-18,5.39.1,4.0.3 and up
31-Jul-18,1.4.0,4.4 and up
2-Aug-18,5.8.1,Varies with device
30-Jul-18,19.1.0,4.0.3 and up
2-Aug-18,1.3.15,4.4 and up
30-Jul-18,2.3.5,4.0.3 and up
1-Aug-18,4.6.2.46103,4.0.3 and up
30-Jul-18,3.6.0,4.1 and up
19-Jun-18,12.0.4.62276,4.0.3 and up
27-Jul-18,1.5.4,4.1 and up
12-Jul-18,1.93,4.4 and up
3-Aug-18,1.8.225278,6.0 and up
24-Jul-18,3.0.0,4.0.3 and up
30-Jul-18,4.0.1,4.0.3 and up
17-Jul-18,3.0.2,4.0.3 and up
30-May-18,1.14.0,2.3 and up
26-Jul-18,1.18.0,4.0 and up
3-Jul-18,2.2.1,4.3 and up
26-Jul-18,1.76,2.3 and up
18-Jul-18,1.1.8,4.0.3 and up
26-Jul-18,1.1.40,4.0.3 and up
5-Jul-18,1.129.0.2,4.1 and up
31-Jul-18,2.347.225742,4.1 and up
31-Jul-18,4.0.0,4.0.3 and up
12-Jul-18,1.90.0,4.1 and up
10-Jul-18,1.118.4,4.1 and up
1-Aug-18,1.0.8,2.3 and up
17-Jul-18,1.20.1,4.0.3 and up
30-Jul-18,3196,4.1 and up
23-Jul-18,5423,4.1 and up
27-Jun-18,2.3.2,4.1 and up
15-Jul-18,10.322.16,4.1 and up
26-Jul-18,5.1.8,2.3 and up
6-Jul-18,2.2.00,4.1 and up
6-Jun-18,1.1.3,3.0 and up
6-Mar-18,2.9,2.3 and up
11-Jul-18,2.2.3181,4.0 and up
25-May-18,1.4.77,4.0 and up
5-Jul-18,1.49.1,4.0 and up
11-Apr-18,4,4.1 and up
13-Jul-18,1.8.0.900,4.0.3 and up
2-Aug-18,1.0.47,4.1 and up
3-Jul-18,3.7.2.51,4.1 and up
14-Nov-17,Varies with device,2.3 and up
12-Jul-18,2.8.0,4.0.3 and up
28-Jun-18,1_39_93,4.0.3 and up
13-Jul-18,2.6.2,4.0.3 and up
19-Jul-18,2.21.5,4.0.3 and up
1-Aug-18,5.66,4.1 and up
13-Jun-18,1.751,4.4 and up
24-May-18,1.0.27,4.1 and up
3-Aug-18,5.13.007,4.1 and up
29-Dec-17,1.3,4.0 and up
29-May-18,1.4.0.1,4.0 and up
16-Jul-18,5.064,4.4 and up
16-Jul-18,79,4.1 and up
6-Jul-18,3.3.3179,4.0.3 and up
24-May-18,7.9.3,4.1 and up
31-Jul-18,2.8.2.59,4.1 and up
23-Jul-18,2.12.5,4.1 and up
19-Jul-18,4.8.0.132,4.1 and up
2-Jul-18,1.37.2,4.2 and up
2-Aug-18,Varies with device,Varies with device
17-Jul-18,3.9.2,4.3 and up
11-May-18,14,4.0.3 and up
17-Jul-17,1.2.1,4.0.3 and up
15-Jun-18,Varies with device,Varies with device
3-Aug-18,1.21.0,4.0.3 and up
20-Jul-18,Varies with device,Varies with device
12-Jul-18,1.90.0,4.1 and up
9-Apr-18,1.0.6,4.1 and up
1-Aug-18,3.1.0,5.0 and up
5-Jul-18,1.49.1,4.0 and up
14-Nov-17,Varies with device,2.3 and up
23-Jul-18,2.12.5,4.1 and up
31-Jul-18,2.8.2.59,4.1 and up
24-May-18,1.0.27,4.1 and up
2-Aug-18,Varies with device,Varies with device
29-Jun-18,3.0.1,4.1 and up
12-Apr-17,1.3,2.3.3 and up
30-Jul-18,1.0.6,4.4 and up
5-Jul-18,Varies with device,4.4 and up
18-Jul-18,3.0.0,4.2 and up
12-Apr-17,1.6.1,4.0.3 and up
2-Jul-18,1.9.38,3.0 and up
5-Jun-18,1.7.1,4.0 and up
26-Jun-18,5.1.2,3.0 and up
3-Aug-18,1.11.0,6.0 and up
23-Jul-18,Varies with device,Varies with device
3-Aug-18,1.8.20,4.1 and up
3-Aug-18,1.1.5,2.3 and up
9-Jul-18,2.11.1,4.1 and up
1-Aug-18,1.8.4,4.1 and up
28-Jun-17,108,4.0 and up
14-Mar-17,3.1.1,3.0 and up
15-Oct-17,1.2.3,2.3 and up
5-Jul-18,1.1.7,4.1 and up
29-Jan-18,1.4.0,4.1 and up
28-Jul-17,2.4.2,2.3.3 and up
23-Jul-18,2.2.8,4.0.3 and up
1-Aug-18,1.0.8,2.3 and up
3-Aug-18,1.21.0,4.0.3 and up
16-Jul-18,0.5.8,4.1 and up
24-Jan-18,8,4.1 and up
26-Jul-18,1.3,5.0 and up
16-Mar-18,1.2.7,4.0.3 and up
6-Aug-18,1.2.6,4.0.3 and up
16-Jul-18,Varies with device,Varies with device
12-Oct-17,1.2.7,4.1 and up
1-Aug-18,1.15.2,4.0.3 and up
29-Jun-18,2.8.0,4.0 and up
25-May-18,Varies with device,Varies with device
18-Jun-18,1.11.2,4.1 and up
3-Aug-18,1.0.7,4.0 and up
25-Jul-18,4.1.1,4.1 and up
5-Aug-18,1.2,4.2 and up
1-Aug-18,2.6.61,4.0.3 and up
3-Aug-18,6.2,4.0.3 and up
5-Jul-18,1.129.0.2,4.1 and up
6-Jul-18,2.2.00,4.1 and up
6-Mar-18,2.9,2.3 and up
9-Apr-18,1.0.6,4.1 and up
31-Jul-18,4.0.0,4.0.3 and up
20-Jul-18,2.11.2,4.0.3 and up
17-Jul-18,1.20.1,4.0.3 and up
8-Jun-18,Varies with device,Varies with device
4-Jun-18,1.9.1,4.0.3 and up
5-Jul-18,57.0.8,4.0.3 and up
27-Feb-18,2.5,4.1 and up
2-Jul-18,1.37.2,4.2 and up
12-Apr-17,1.3,2.3.3 and up
25-Jul-18,3.5,4.1 and up
4-Jul-18,2.9.3181,4.0.3 and up
11-Apr-18,4,4.1 and up
24-May-18,1.0.27,4.1 and up
3-Aug-18,1.0.109,4.0 and up
3-Jul-18,2.6.9,4.1 and up
20-Jul-18,2.1.10,4.0 and up
5-Jul-18,3.7.2,4.1 and up
29-Dec-17,1.3,4.0 and up
25-Jul-18,6.0.0,4.1 and up
2-Aug-18,3.15,4.1 and up
24-May-18,7.9.3,4.1 and up
2-Aug-18,5.8.1,Varies with device
2-Aug-18,1.17.2,4.2 and up
15-Jun-18,2.4.2,4.0 and up
23-Jul-18,60,4.1 and up
17-Jul-17,1.6,2.3 and up
29-Jun-18,3.0.1,4.1 and up
3-Aug-18,2.0.4,4.1 and up
10-May-18,1.7.04,4.4 and up
23-Jul-18,2.12.5,4.1 and up
3-Aug-18,5.13.007,4.1 and up
13-Apr-18,2.9,2.3.3 and up
3-Aug-18,1.3.35,4.1 and up
17-Jul-18,3.9.2,4.3 and up
13-Jun-18,1.751,4.4 and up
11-Jul-18,2.5.3182,2.3 and up
14-Feb-18,1.1,4.0 and up
19-Jul-18,1.10.12,4.1 and up
15-Jun-18,Varies with device,Varies with device
23-Jul-18,Varies with device,Varies with device
2-Jul-18,Varies with device,Varies with device
26-Jul-18,5.1.8,2.3 and up
22-Nov-16,1,2.3.3 and up
22-May-18,1.4.12,4.1 and up
3-Aug-18,3.43.3,4.1 and up
4-Jul-18,2.9.3181,4.0.3 and up
31-Jul-18,2.347.225742,4.1 and up
23-Jul-18,1.9.3901,4.0.3 and up
17-Jul-18,1.49,4.0.3 and up
2-Aug-18,1.24.3181,4.0.3 and up
16-Jul-18,1.1.6.7,4.1 and up
4-Jul-18,1.8.3181,4.0.3 and up
3-Apr-18,2.4,4.1 and up
24-May-18,2.0.3165,2.3 and up
16-Jul-18,1.7.101,4.1 and up
25-Feb-18,1.2.8,4.0 and up
17-Apr-18,1.5,4.1 and up
17-Apr-18,2.2.3169,4.0.3 and up
1-Feb-18,1.0.3122,4.0.3 and up
22-May-18,1.4.12,4.1 and up
1-Aug-18,1.1.0,2.3 and up
16-May-18,3.1,4.1 and up
18-Jul-18,1.0.6,4.1 and up
15-Jan-18,2.0.0,4.0.3 and up
15-Jun-18,8.25.10.00,4.0.3 and up
1-Feb-18,2.7,2.3 and up
28-May-18,Varies with device,Varies with device
29-Jun-17,1.2.3-play,4.1 and up
5-Jun-18,2.0.1,4.0.3 and up
7-Jul-17,1.0.1,4.0.3 and up
3-Aug-18,Varies with device,Varies with device
9-Jan-18,2.3.3122,2.3 and up
5-Aug-18,1.0.9,4.0.3 and up
12-Jul-18,6.1,4.0.3 and up
31-Jul-18,3.5.3183,4.0.3 and up
30-Jul-18,1.3.7,4.1 and up
3-Aug-18,8.4.3180,4.0 and up
14-Jul-17,1.0.1,4.0.3 and up
22-Jun-18,Varies with device,4.0 and up
6-Oct-17,2.2,4.1 and up
12-Jul-18,Varies with device,Varies with device
3-Aug-18,1.73,4.0.3 and up
17-Jul-17,1.4.4,2.3.3 and up
27-May-18,2,4.0 and up
29-Jul-18,1.2.0,4.1 and up
25-May-18,2.2.3172,4.0.3 and up
1-Aug-18,Varies with device,Varies with device
28-Jun-18,Varies with device,4.4 and up
27-Jul-18,1.0.89,4.4 and up
6-Nov-17,1.2,4.1 and up
23-Jul-18,2.180723,4.1 and up
18-Jul-18,1.1.2,5.0 and up
14-Jun-18,1.0.1,4.4 and up
5-Jul-18,Varies with device,4.4 and up
11-Jul-18,1,4.2 and up
16-Jul-18,1.1.6.7,4.1 and up
21-Mar-18,2.0.5.0,4.1 and up
12-Jul-18,8.25.10.01,4.0.3 and up
23-Mar-18,1.6.4,4.1 and up
31-Jul-18,1.2.0,4.1 and up
16-Jul-18,2.0.7.4,4.1 and up
7-Feb-18,1.1,4.4 and up
18-May-18,2.4,4.4 and up
2-Jun-18,5.3.11,5.0 and up
3-Aug-18,1.2.7,4.1 and up
6-Jul-18,7.32,4.0.3 and up
28-Mar-18,Varies with device,Varies with device
18-Jun-18,3.4.0,Varies with device
24-Jul-18,1.2.1,4.1 and up
31-May-18,10.18053,4.0.3 and up
30-May-18,Varies with device,Varies with device
6-Aug-18,149,4.1 and up
12-Jul-18,1.7.2,4.1 and up
16-Jul-18,1.8.3,4.1 and up
4-Jul-18,1.180702,4.1 and up
25-May-18,1.08,4.1 and up
9-Jul-18,1.1,4.4 and up
25-Jun-18,1.5.0,4.1 and up
31-Jul-18,2.347.225742,4.1 and up
5-Jun-18,2.0.1,4.0.3 and up
12-Jul-18,Varies with device,Varies with device
22-May-18,1.4.12,4.1 and up
12-Jul-17,3.2.473.202,4.0 and up
28-Jun-18,Varies with device,4.4 and up
1-Aug-18,1.3.3,4.1 and up
17-Jul-17,1.4.4,2.3.3 and up
29-Jun-18,1.221,4.1 and up
20-Dec-17,1.3,4.1 and up
31-Aug-17,1.1.9,4.1 and up
21-May-18,1.6,4.0.3 and up
20-Jun-18,8.25.10.00,4.0.3 and up
30-Jul-18,3.2.4,4.4 and up
13-Jun-18,1.1.1,4.2 and up
13-Jun-18,1.4.3,4.2 and up
19-Jan-18,6.7.5222,4.1 and up
23-Aug-17,1.0.8,4.1 and up
22-Nov-17,1.4,4.1 and up
2-Aug-18,1.1.23,4.0.3 and up
7-Mar-17,1.0.1,4.0 and up
26-Jun-18,1.28.01,4.1 and up
28-Mar-18,1.3,4.1 and up
7-Mar-18,1.0.0,4.1 and up
20-Jun-18,2.1.6579,4.1 and up
19-Jan-17,1.0.9,2.3 and up
8-Mar-18,Varies with device,4.1 and up
15-Oct-17,1.2.3,2.3 and up
2-Jul-18,1.47,4.3 and up
21-Jan-18,1.20.2,2.3 and up
2-Aug-18,3.2.0h,4.0.3 and up
4-Oct-17,2.1.20,2.3.3 and up
5-Mar-18,1.6,4.1 and up
5-Jul-18,1.5,4.1 and up
11-Jul-18,3.49,4.2 and up
22-Jul-16,37893,4.0 and up
29-Jun-18,2.8.0,4.0 and up
30-May-18,3.200.18289,4.4 and up
18-May-17,1.4.2.1,2.3.3 and up
29-Jun-17,1.2.3-play,4.1 and up
26-Jul-18,1.19,4.1 and up
26-Jul-18,1.24,4.1 and up
11-Oct-17,2.4.9,4.0 and up
16-Jun-18,18.1,4.2 and up
29-Jun-18,2.8.0,4.0 and up
15-Oct-17,1.2.3,2.3 and up
31-Aug-17,1.22.0,4.0.3 and up
2-Aug-18,3.2.0h,4.0.3 and up
2-Feb-18,5.2,4.1 and up
18-Feb-16,1.0.4,2.3 and up
27-Jul-18,6.7.0,4.2 and up
15-Mar-17,1.4.2,4.0.3 and up
13-Jun-18,3.6.1,4.1 and up
3-Apr-18,1.6.4,4.1 and up
5-Mar-16,1.0.3,2.3 and up
19-Jun-18,1.2.0,5.1 and up
28-Jul-18,3.7.2.7,4.2 and up
2-Feb-16,1.1.1,4.0 and up
23-Jul-18,2.5.6,4.1 and up
13-Jan-17,2.0.0,4.1 and up
8-May-18,2.7.4,4.0 and up
21-Jun-18,2.19.01,4.1 and up
13-Jul-17,Varies with device,Varies with device
6-Jul-18,1.5-play,4.4 and up
1-Dec-15,Varies with device,4.0.3 and up
17-Jun-15,2.0.1,2.3 and up
23-Mar-17,4.0.2,2.3 and up
12-Jul-18,7.5,4.0.3 and up
2-Aug-17,1.15.3028.0,2.3 and up
3-Jul-17,1.6.3028.0,2.3 and up
5-Jul-18,5.2,4.1 and up
24-Jul-18,4.0.2,4.1 and up
24-May-18,2.9.7,3.0 and up
15-May-18,2.2.3,4.1 and up
12-Sep-17,1.2.16,2.3 and up
4-Jul-18,2.8,4.0.3 and up
22-May-18,1.1.0,4.1 and up
31-Jul-18,1.19.56.434,4.4 and up
26-Jan-17,0.1.0,4.0 and up
8-Sep-16,4.2,2.3 and up
16-May-18,Varies with device,Varies with device
13-Jun-18,20180609,4.0 and up
30-Mar-18,2.4.15,4.0 and up
14-Jun-18,20180609,4.0 and up
3-Sep-15,1.1,5.1 and up
14-Nov-14,1.2,2.3.3 and up
13-Dec-17,3.3.1,4.1 and up
24-Jul-18,1.6,4.1 and up
1-May-18,1.16.5,4.1 and up
2-Aug-16,1.3.3,2.3 and up
9-Feb-16,1.0.3,4.0 and up
12-Aug-15,2.0.5,2.3 and up
6-Jul-18,18.2,4.0.3 and up
24-Aug-15,1.7.1,4.0 and up
31-Jan-18,2.0.7,2.3 and up
16-Jun-16,1.3,4.0.3 and up
11-Jul-18,1,4.2 and up
7-Nov-16,1.0.3,4.0.3 and up
22-May-13,1,2.2 and up
31-Jul-18,2.3,4.4 and up
4-Aug-17,2.5,4.3 and up
21-May-18,1.7.0,4.0.3 and up
7-Mar-17,2.6,2.3 and up
28-Oct-16,1.1,4.0.3 and up
9-Dec-14,1.8,4.0 and up
6-Jul-18,18.2,4.0.3 and up
24-Aug-15,1.7.1,4.0 and up
31-Jan-18,2.0.7,2.3 and up
16-Jun-16,1.3,4.0.3 and up
11-Jul-18,1,4.2 and up
7-Nov-16,1.0.3,4.0.3 and up
22-May-13,1,2.2 and up
31-Jul-18,2.3,4.4 and up
4-Aug-17,2.5,4.3 and up
21-May-18,1.7.0,4.0.3 and up
7-Mar-17,2.6,2.3 and up
28-Oct-16,1.1,4.0.3 and up
9-Dec-14,1.8,4.0 and up
31-Jul-18,2.347.225742,4.1 and up
30-Jul-18,Varies with device,Varies with device
3-Aug-18,3.43.3,4.1 and up
27-Jun-18,3.46,4.2 and up
12-Jul-18,2.6,4.1 and up
15-Jun-18,8.25.10.00,4.0.3 and up
9-Dec-17,1.8,4.2 and up
13-Jul-18,2.2.54,4.4 and up
2-Feb-18,5.2,4.1 and up
21-Nov-17,1.6,4.1 and up
1-Aug-18,Varies with device,Varies with device
2-Jul-18,1.3.51,4.4 and up
26-Jul-18,1.38.0,4.1 and up
13-Jun-18,3.6.1,4.1 and up
5-Jul-18,Varies with device,4.4 and up
30-Dec-16,1.3,4.0.3 and up
22-Jul-16,37893,4.0 and up
3-Aug-18,3.52,4.2 and up
6-Mar-18,3.6.17,2.3 and up
27-Jul-18,6.7.0,4.2 and up
24-Jan-18,2.0.8,4.4 and up
18-May-18,2.4,4.4 and up
31-Jul-18,1.1.1,6.0 and up
31-Aug-17,1.22.0,4.0.3 and up
3-Jul-18,7.2.0,4.4 and up
22-Jul-16,1.0.0,2.3 and up
16-Jun-16,1.3,4.0.3 and up
5-Feb-16,1,2.3 and up
30-May-18,Varies with device,Varies with device
14-Apr-16,1.1.0,4.0 and up
7-Nov-17,1.35.23,4.0 and up
2-Aug-18,28.0.14,4.1 and up
17-Jul-18,6.14.091,4.3 and up
2-Jul-18,6.4.0,4.1 and up
3-Aug-18,3.14.15,5.0 and up
24-Jul-18,1.5.2.1,Varies with device
11-Feb-16,1.11.0,2.3.3 and up
16-Jul-18,2.0.7,4.0 and up
,,
6-Apr-18,3.0.1.0,4.1 and up
3-Oct-16,2.1.1,2.2 and up
17-Jun-17,Varies with device,Varies with device
21-Sep-17,1.8.3,4.1 and up
15-Nov-17,2.0.1,6.0 and up
31-May-18,6.5.0,5.0 and up
25-May-18,2018.5.47,5.0 and up
7-Aug-14,1.1.3,4.0.3 and up
18-Jun-18,19,4.0.3 and up
27-Jun-18,3.0.5,4.4W and up
17-Jul-18,2.4.4,4.0.3 and up
27-Jan-17,1.0.5,4.0.3 and up
1-Aug-18,2.1,4.1 and up
25-Apr-18,1.17.0,4.0 and up
16-Jul-18,6.5.1,5.0 and up
6-Dec-17,Varies with device,Varies with device
1-Aug-18,7.6.14,4.0 and up
20-Apr-18,1,4.1 and up
,,
18-Apr-17,1.6.2,4.0.3 and up
24-Jan-16,1,4.2 and up
22-Oct-14,2.0.2,4.0 and up
,,
24-May-18,3.2.0,4.1 and up
25-Jul-18,7,3.0 and up
18-Aug-15,6,4.0 and up
16-Dec-15,1,4.0 and up
5-Nov-13,1,3.0 and up
,,
14-Mar-18,1.10.0.user.pro.release,4.4 and up
22-Jul-18,4.1.5 (Steglitz),4.1 and up
5-Aug-17,Varies with device,Varies with device
11-Aug-17,7.1.17,4.4 and up
,,
,,
5-Oct-17,1.2,4.0.3 and up
11-Jun-16,3.1.6,3.0 and up
6-Mar-18,Varies with device,Varies with device
2-Aug-14,3,2.3 and up
14-Sep-17,1.0.3,4.1 and up
6-Sep-14,1,2.3.3 and up
2-Jan-18,1.5,4.1 and up
26-Jul-13,Varies with device,Varies with device
2-Mar-17,1.2,4.1 and up
14-May-18,2.0.5,4.4W and up
25-Oct-17,Varies with device,Varies with device
5-Mar-18,Varies with device,Varies with device
8-May-18,2.29,4.2 and up
13-Apr-18,4.4.5,4.1 and up
3-Oct-17,1,4.0.3 and up
6-May-15,1.3.4,2.3.3 and up
8-Jan-17,2.1,2.1 and up
5-Jun-17,6.0.4,4.1 and up
22-Dec-15,2.1,2.2 and up
14-Jan-18,1.2.0,4.0.3 and up
9-May-17,1,2.3.3 and up
2-Oct-17,2.1.35,4.0 and up
2-Dec-13,4.1,3.2 and up
26-Jul-18,5.4.8,4.1 and up
24-Jul-18,Varies with device,Varies with device
10-May-18,3.3,4.4 and up
30-Jul-18,Varies with device,Varies with device
3-Aug-18,2.2.4,4.3 and up
26-Jul-18,3.19,4.3 and up
25-Jul-18,1.1.0.0.1487,5.0 and up
24-Jul-18,3.27.3,4.1 and up
2-Aug-18,1.2.16,4.1 and up
27-Jul-18,3.25.0,4.4 and up
9-Jul-18,1.2.0,4.4 and up
22-May-18,3.5,5.1 and up
30-May-18,Varies with device,Varies with device
27-Jul-18,Varies with device,4.3 and up
27-Jul-18,8.0.226,4.4 and up
31-Jul-18,1.6.2,4.1 and up
3-Aug-18,5.9.6,4.1 and up
3-Aug-18,6.02.000,6.0 and up
31-Jul-18,3.18.2,4.3 and up
27-Jul-18,7.4.1,5.0 and up
13-Apr-18,1.4.6,4.0 and up
31-Jul-18,2.4,4.1 and up
3-Aug-18,1.2.0,4.3 and up
13-Mar-18,2.17,4.0 and up
2-Jul-18,2.11.0,4.0.3 and up
28-Jul-18,4.36,4.4 and up
10-Oct-17,1.0.02,4.0 and up
16-Jul-18,2.25.0,4.4 and up
6-Aug-18,3.52.1,5.0 and up
25-Jul-18,2.1.3,4.1 and up
1-Jun-18,2.6.1,4.1 and up
7-Jul-17,1.1,4.0.3 and up
3-Jul-18,2.15,5.0 and up
21-Jun-18,3.3.0,4.4 and up
17-Jul-18,4.6.0,5.0 and up
22-May-18,Varies with device,4.4 and up
10-Jun-18,3.2.4,5.0 and up
1-Aug-18,3.8,4.1 and up
2-Jan-18,2.4.0,4.4 and up
19-Jul-18,1.16.0,4.1 and up
25-Jun-18,25.3.1,4.0.3 and up
9-Jul-18,1.2.2,4.1 and up
19-Apr-18,1.0.0,4.1 and up
18-Jul-18,2,4.1 and up
11-Jun-18,1.1,4.1 and up
5-Jul-18,1.2.0,4.4 and up
5-Jul-18,5.11,4.1 and up
26-Jul-18,1.3.185,4.1 and up
27-Jun-18,2.2.12,4.4 and up
1-Aug-18,Varies with device,Varies with device
2-Aug-18,1.7.1 (946),5.0 and up
10-Jul-18,Varies with device,4.0 and up
23-Jul-18,4.23.0,4.4 and up
13-Oct-16,3.0.0,4.0.3 and up
1-May-18,1.7.2,4.0 and up
31-Jul-18,3.8.0,4.1 and up
17-Oct-16,1.2.2,4.0 and up
16-Jul-18,1.2.3.2,6.0 and up
30-Jul-18,2.9,4.4 and up
30-Jul-18,4.4.7,5.0 and up
3-Jul-18,2.1.11,4.1 and up
13-Jul-18,4.3.2.315,4.4 and up
18-Jun-18,19,4.0.3 and up
16-Jul-18,2.0.7,4.0 and up
6-Aug-18,3.52.1,5.0 and up
3-Jul-18,2.6.5,4.1 and up
16-Mar-18,3.16.4.1669,4.4 and up
17-May-18,4.5.1,4.4 and up
11-Jul-18,4.5.2,4.4 and up
25-May-18,2018.5.47,5.0 and up
11-Dec-17,2.7.36,4.1 and up
1-Aug-18,6.1.3,Varies with device
1-Jul-18,4.9.6,4.1 and up
2-May-18,4.5.1,4.4 and up
8-Dec-17,2.7.36,4.1 and up
3-Oct-16,2.1.1,2.2 and up
24-Mar-18,2.1.0.372,4.4 and up
21-Sep-17,1.8.3,4.1 and up
2-May-18,2.6.2,4.2 and up
2-Aug-18,3.5.7,7.0 and up
11-Dec-17,2.7.36,4.1 and up
22-Oct-13,1.3,2.2 and up
27-Jan-17,1.0.5,4.0.3 and up
7-Aug-14,1.1.3,4.0.3 and up
22-Oct-14,2.0.2,4.0 and up
12-Jul-18,2.1.4,4.1 and up
1-Aug-18,7.6.14,4.0 and up
25-Jun-18,3.1.1,4.0.3 and up
11-Jul-18,1.0.0,7.0 and up
10-Jul-18,1.0.0.10,3.0 and up
6-Sep-16,Varies with device,Varies with device
30-Jul-18,4.8.2,4.0.3 and up
27-Jun-18,3.0.5,4.4W and up
12-Jul-18,4.5.3,4.4 and up
12-Jul-18,4.5.2,4.4 and up
17-Jun-17,Varies with device,Varies with device
6-Apr-18,3.0.1.0,4.1 and up
5-Nov-13,1,3.0 and up
16-Jul-18,6.5.1,5.0 and up
2-Oct-17,2.1.35,4.0 and up
29-Mar-18,2.6,4.2 and up
11-Jul-18,4.5.2,4.4 and up
29-Jan-18,2.7.38,4.1 and up
22-Dec-15,2.1,2.2 and up
11-Aug-17,7.1.17,4.4 and up
23-Dec-17,1.6.17,4.1 and up
25-Jul-18,7,3.0 and up
12-Jul-18,4.5.2,4.4 and up
15-Jun-18,3.1-2018 – (13),4.0 and up
30-Jul-18,6.6,4.1 and up
16-Jul-18,2.7.6,5.0 and up
4-Apr-18,3.0.1,4.1 and up
1-May-18,3.3.1,4.1 and up
31-May-18,6.5.0,5.0 and up
17-May-18,4.5.1,4.4 and up
25-Apr-18,1.17.0,4.0 and up
5-Oct-17,1.2,4.0.3 and up
5-Jun-17,6.0.4,4.1 and up
17-Apr-18,Varies with device,Varies with device
1-Aug-18,1,4.1 and up
4-Aug-18,1.1,4.1 and up
15-Jul-18,1.0.0,4.2 and up
24-Jul-18,1,4.0.3 and up
21-Jul-18,1.1,4.0.3 and up
25-Jul-18,3.0.0,5.0 and up
17-Jul-18,1.2.9,4.4 and up
27-Jun-18,1.830.0.564-(e405bb2),5.0 and up
24-Jul-18,10.4.1.018_06,4.0.3 and up
20-Jul-18,1.3.5,5.0 and up
2-Aug-18,1.2,3.0 and up
13-Jul-18,300000.1.11,4.0.3 and up
1-Aug-18,1.0.1,4.1 and up
23-Jul-18,2,5.0 and up
16-Jul-18,300000.1.11,4.0.3 and up
26-Jul-18,1.8.3,4.1 and up
9-Jul-18,3.1.1,4.4 and up
16-Jul-18,1.0.10,5.0 and up
24-Jul-18,2.0.0 (35717),4.4 and up
4-Aug-18,1,5.0 and up
2-Aug-18,1.1,4.1 and up
31-Jul-18,1,4.4 and up
17-Jul-18,1.5.0,4.1 and up
3-Aug-18,1.2,4.2 and up
26-Jul-18,1,4.0.3 and up
24-Jul-18,2.01.12,4.0 and up
19-Jul-18,1,4.1 and up
30-Jul-18,1.2.3-DEBUG,4.2 and up
3-Aug-18,1,4.1 and up
1-Aug-18,1,4.1 and up
27-Jul-18,1,4.1 and up
21-Jun-18,1,4.1 and up
